iter	Passed	Remaining
966	20047	11050
967	20068	11029
968	20088	11008
969	20109	10987
970	20131	10967
971	20153	10947
972	20177	10928
973	20199	10908
974	20219	10887
975	20242	10867
976	20261	10846
977	20285	10827
978	20307	10807
979	20332	10788
980	20356	10769
981	20382	10751
982	20405	10732
983	20427	10712
984	20453	10693
985	20476	10674
986	20499	10654
987	20521	10634
988	20545	10615
989	20567	10595
990	20588	10574
991	20607	10553
992	20630	10533
993	20649	10511
994	20669	10490
995	20689	10469
996	20709	10448
997	20732	10428
998	20753	10408
999	20777	10388
1000	20801	10369
1001	20823	10349
1002	20845	10329
1003	20865	10308
1004	20888	10288
1005	20912	10269
1006	20934	10249
1007	20955	10228
1008	20977	10208
1009	20998	10187
1010	21019	10166
1011	21044	10148
1012	21066	10127
1013	21089	10107
1014	21110	10087
1015	21132	10066
1016	21154	10047
1017	21178	10027
1018	21201	10007
1019	21224	9988
1020	21248	9968
1021	21263	9945
1022	21282	9923
1023	21302	9902
1024	21323	9881
1025	21339	9858
1026	21361	9838
1027	21377	9815
1028	21395	9793
1029	21415	9772
1030	21437	9751
1031	21451	9728
1032	21472	9707
1033	21492	9686
1034	21507	9662
1035	21527	9641
1036	21549	9621
1037	21565	9598
1038	21580	9575
1039	21603	9555
1040	21626	9535
1041	21648	9515
1042	21669	9494
1043	21684	9471
1044	21706	9451
1045	21727	9430
1046	21749	9410
1047	21772	9390
1048	21789	9367
1049	21805	9345
1050	21826	9324
1051	21847	9303
1052	21870	9284
1053	21891	9263
1054	21911	9242
1055	21931	9221
1056	21950	9199
1057	21972	9179
1058	21994	9159
1059	22018	9139
1060	22041	9119
1061	22062	9099
1062	22081	9077
1063	22103	9057
1064	22119	9034
1065	22135	9011
1066	22151	8989
1067	22174	8969
1068	22196	8949
1069	22211	8926
1070	22226	8903
1071	22248	8882
1072	22259	8858
1073	22277	8836
1074	22296	8814
1075	22318	8794
1076	22338	8773
1077	22355	8751
1078	22377	8731
1079	22400	8711
1080	22420	8690
1081	22432	8666
1082	22455	8646
1083	22471	8623
1084	22485	8600
1085	22502	8578
1086	22514	8554
1087	22535	8533
1088	22556	8512
1089	22571	8490
1090	22591	8469
1091	22607	8446
1092	22623	8424
1093	22643	8403
1094	22666	8383
1095	22688	8363
1096	22711	8343
1097	22734	8323
1098	22758	8303
1099	22779	8283
1100	22801	8263
1101	22825	8243
1102	22846	8223
1103	22868	8202
1104	22887	8181
1105	22909	8161
1106	22928	8140
1107	22953	8120
1108	22973	8099
1109	22995	8079
1110	23019	8059
1111	23042	8040
1112	23064	8019
1113	23089	8000
1114	23114	7981
1115	23137	7961
1116	23160	7941
1117	23182	7921
1118	23205	7900
1119	23227	7880
1120	23249	7860
1121	23270	7839
1122	23291	7819
1123	23305	7796
1124	23323	7774
1125	23347	7754
1126	23372	7735
1127	23394	7715
1128	23415	7694
1129	23436	7673
1130	23457	7653
1131	23480	7633
1132	23500	7612
1133	23522	7591
1134	23545	7571
1135	23561	7549
1136	23582	7529
1137	23603	7508
1138	23624	7487
1139	23647	7467
1140	23670	7447
1141	23691	7427
1142	23712	7406
1143	23735	7386
1144	23756	7365
1145	23779	7345
1146	23801	7325
1147	23824	7305
1148	23846	7284
1149	23867	7264
1150	23888	7243
1151	23911	7223
1152	23932	7202
1153	23953	7181
1154	23974	7161
1155	23997	7141
1156	24020	7121
1157	24043	7101
1158	24067	7081
1159	24091	7061
1160	24113	7041
1161	24136	7020
1162	24159	7000
1163	24182	6980
1164	24200	6958
1165	24220	6937
1166	24241	6917
1167	24263	6896
1168	24286	6876
1169	24308	6856
1170	24329	6835
1171	24346	6813
1172	24368	6793
1173	24390	6772
1174	24413	6752
1175	24431	6731
1176	24453	6710
1177	24475	6690
1178	24495	6669
1179	24515	6648
1180	24536	6627
1181	24557	6606
1182	24581	6586
1183	24602	6566
1184	24618	6544
1185	24637	6522
1186	24653	6500
1187	24670	6479
1188	24691	6458
1189	24716	6438
1190	24741	6419
1191	24765	6399
1192	24782	6377
1193	24804	6357
1194	24822	6335
1195	24842	6314
1196	24864	6294
1197	24886	6273
1198	24909	6253
1199	24930	6232
1200	24945	6210
1201	24968	6190
1202	24987	6169
1203	25002	6146
1204	25018	6124
1205	25037	6103
1206	25050	6081
1207	25066	6059
1208	25082	6037
1209	25098	6015
1210	25119	5994
1211	25140	5974
1212	25162	5953
1213	25178	5931
1214	25200	5911
1215	25220	5890
1216	25243	5870
1217	25259	5848
1218	25283	5828
1219	25306	5807
1220	25329	5787
1221	25351	5767
1222	25375	5747
1223	25397	5726
1224	25417	5705
1225	25439	5685
1226	25463	5665
1227	25485	5644
1228	25510	5625
1229	25528	5603
1230	25545	5582
1231	25566	5561
1232	25585	5540
1233	25606	5519
1234	25624	5498
1235	25639	5476
1236	25661	5456
1237	25682	5435
1238	25705	5414
1239	25725	5394
1240	25747	5373
1241	25768	5352
1242	25785	5331
1243	25801	5309
1244	25817	5287
1245	25832	5266
1246	25849	5244
1247	25866	5223
1248	25882	5201
1249	25901	5180
1250	25917	5158
1251	25933	5136
1252	25950	5115
1253	25965	5093
1254	25987	5073
1255	26002	5051
1256	26019	5029
1257	26033	5008
1258	26051	4986
1259	26064	4964
1260	26078	4942
1261	26092	4920
1262	26112	4899
1263	26133	4879
1264	26148	4857
1265	26168	4836
1266	26186	4815
1267	26204	4794
1268	26217	4772
1269	26233	4750
1270	26254	4730
1271	26276	4709
1272	26293	4688
1273	26308	4667
1274	26324	4645
1275	26339	4623
1276	26362	4603
1277	26379	4582
1278	26395	4560
1279	26417	4540
1280	26436	4519
1281	26459	4499
1282	26474	4477
1283	26498	4457
1284	26522	4437
1285	26542	4416
1286	26564	4396
1287	26587	4376
1288	26611	4356
1289	26629	4334
1290	26651	4314
1291	26670	4293
1292	26687	4272
1293	26709	4252
1294	26733	4231
1295	26756	4211
1296	26778	4191
1297	26799	4170
1298	26822	4150
1299	26845	4130
1300	26870	4110
1301	26887	4088
1302	26909	4068
1303	26930	4047
1304	26950	4027
1305	26969	4006
1306	26992	3985
1307	27015	3965
1308	27040	3945
1309	27064	3925
1310	27089	3905
1311	27111	3884
1312	27132	3864
1313	27155	3843
1314	27179	3823
1315	27195	3802
1316	27211	3781
1317	27226	3759
1318	27239	3738
1319	27255	3716
1320	27271	3695
1321	27287	3674
1322	27302	3652
1323	27318	3631
1324	27334	3610
1325	27349	3588
1326	27365	3567
1327	27380	3546
1328	27396	3525
1329	27411	3503
1330	27435	3483
1331	27458	3463
1332	27482	3443
1333	27498	3421
1334	27515	3400
1335	27533	3379
1336	27552	3359
1337	27567	3337
1338	27582	3316
1339	27598	3295
1340	27614	3274
1341	27634	3253
1342	27650	3232
1343	27665	3211
1344	27681	3190
1345	27696	3168
1346	27712	3147
1347	27729	3126
1348	27744	3105
1349	27767	3085
1350	27790	3064
1351	27811	3044
1352	27834	3024
1353	27856	3003
1354	27879	2983
1355	27900	2962
1356	27922	2942
1357	27939	2921
1358	27961	2901
1359	27983	2880
1360	28003	2859
1361	28026	2839
1362	28048	2819
1363	28072	2798
1364	28093	2778
1365	28115	2757
1366	28139	2737
1367	28161	2717
1368	28183	2696
1369	28204	2676
1370	28228	2656
1371	28251	2635
1372	28270	2615
1373	28292	2594
1374	28309	2573
1375	28333	2553
1376	28355	2532
1377	28377	2512
1378	28400	2491
1379	28422	2471
1380	28444	2451
1381	28464	2430
1382	28483	2409
1383	28505	2389
1384	28526	2368
1385	28549	2348
1386	28570	2327
1387	28593	2307
1388	28617	2286
1389	28640	2266
1390	28657	2245
1391	28680	2225
1392	28703	2204
1393	28727	2184
1394	28750	2164
1395	28772	2143
1396	28795	2123
1397	28817	2102
1398	28840	2082
1399	28863	2061
1400	28883	2041
1401	28904	2020
1402	28924	1999
1403	28948	1979
1404	28965	1958
1405	28984	1937
1406	29001	1916
1407	29027	1896
1408	29051	1876
1409	29075	1855
1410	29099	1835
1411	29124	1815
1412	29145	1794
1413	29167	1773
1414	29191	1753
1415	29211	1732
1416	29234	1712
1417	29256	1691
1418	29276	1671
1419	29301	1650
1420	29323	1630
1421	29344	1609
1422	29358	1588
1423	29380	1568
1424	29396	1547
1425	29415	1526
1426	29438	1505
1427	29461	1485
1428	29484	1464
1429	29506	1444
1430	29530	1423
1431	29549	1403
1432	29573	1382
1433	29596	1362
1434	29619	1341
1435	29642	1321
1436	29664	1300
1437	29686	1279
1438	29701	1259
1439	29724	1238
1440	29746	1217
1441	29770	1197
1442	29795	1176
1443	29818	1156
1444	29841	1135
1445	29864	1115
1446	29886	1094
1447	29909	1074
1448	29930	1053
1449	29947	1032
1450	29966	1011
1451	29981	991
1452	29996	970
1453	30012	949
1454	30032	928
1455	30054	908
1456	30078	887
1457	30099	867
1458	30122	846
1459	30145	825
1460	30162	805
1461	30183	784
1462	30207	763
